Oliver Beer - Resonance Paintings: The Cave,Thaddeus Ropac,2025-04-04
Hans Hollein: Works from the 1960s,Thaddeus Ropac,2025-04-04
Julie Curtiss: Suburban Lawns,Gagosian,2025-04-05
Amélie Bertrand: Country Life,Semiose,2025-04-05
Anton Alvarez & Oli Epp: Sweet Tooth,Semiose,2025-04-05
Jean Messagier: Les Portes du Printemps - Peintures 1990-1994,Ceysson & Bénétière,2025-04-05
Guilty Pleasures,Nathalie Obadia,2025-04-05
Pierre-Olivier Arnaud: Nouveaux Éléments. Part II,Art: Concept,2025-04-05
FEMMES. Curated by Pharrell Williams,Perrotin,2025-04-05
Nicolas Guiet: Hyperboles,Galerie Richard,2025-04-05
John Chamberlain,Timothy Taylor,2025-04-08
Celia Paul: Diaries,Hazlitt Holland-Hibbert,2025-04-10
Celia Paul: Colony of Ghosts,Victoria Miro,2025-04-12
Inka Essenhigh: The Greenhouse,Victoria Miro,2025-04-12
Mike Kelley. Vice Anglais,Hauser & Wirth,2025-04-15
Dan Flavin,Ordovas,2025-04-15
Cesar Santos. Manuscripts,Robilant + Voena,2025-04-17
Leigh Bowery!,Tate Modern,2025-04-19
Lives Less Ordinary Working-Class Britain Re-seen,Two Temple Place,2025-04-19
LFG,The Hole,2025-04-24
Dustin Hodges: Barley Patch,15 Orient,2025-04-24
Carlotta Bailly-Borg: Sea Foam Shame,Ruttkowski;68,2025-04-24
Sean Gerstley: Free Play,Superhouse,2025-04-24
Keita Morimoto: To Nowhere and Back,Almine Rech,2025-04-24
Joe Andoe - AM PM,Almine Rech,2025-04-24
Queer Love,Stephen Friedman Gallery,2025-04-24
Frieda Toranzo Jaeger: Impersonal Unity Tools,Bortolami,2025-04-25
Ozioma Onuzulike: Who Knows Tomorrow,Mark Straus,2025-04-25
Michael E. Smith: Tanks,Andrew Kreps,2025-04-25
Kresiah Mukwazhi: Ndakangavara,Kaufman Repetto,2025-04-25
Samantha Thomas: Love in a Mist,Anat Ebgi,2025-04-25
Krzysztof Strzelecki: Rendezvous,Anat Ebgi,2025-04-25
Jeni Spota C.: Ghost Clock,Nicelle Beauchene,2025-04-25
Glen Baldridge: Headlights,Klaus von Nichtssagend,2025-04-25
Timothy Lai: Still. Yet. Still,Jack Barrett,2025-04-25
Out of Frame,Jack Barrett,2025-04-25
Claudia Doring Baez: My Brother’s Mind,Friedrichs Pontone,2025-04-25
Kristi Kongi: Twilight in the Garden,Friedrichs Pontone,2025-04-25
Choi Soowhan: A Positive Absence,Friedrichs Pontone,2025-04-25
Ida Applebroog: You What?,Ronald Feldman,2025-04-25
Antoine Catala: I Love You - I Love You,47 Canal,2025-04-25
Amy Yao. AZN Clam,47 Canal,2025-04-25
Rodrigo Ramírez Rodríguez: While Being Plasmic Membranes,Swivel Gallery,2025-04-25
Gordon Matta-Clark: NYC Graffiti Archive (1972-1973),White Columns,2025-04-25
Enzo Cucchi: Mostra Coagula,Vito Schnabel Gallery,2025-04-25
Malick Sidibé: Regardez-moi,Jack Shainman Gallery,2025-04-25
Cynthia Hawkins: Maps Necessary for a Walk in 4D,Paula Cooper,2025-04-25
Claes Oldenburg & Peter Moore,Paula Cooper,2025-04-25
Terry Haggerty,Miles McEnery,2025-04-25
Markus Linnenbrink: ILIKEITHERECANISTAY,Miles McEnery,2025-04-25
George Woodman: A Democracy of Parts: Paintings 1966-1978,DC Moore,2025-04-25
Steve McQueen,Dia Chelsea,2025-04-25
Kim Yun Shin - Divide Two Divide One,Lehmann Maupin,2025-04-25
Catherine Opie: A Study of Blue Mountains,Lehmann Maupin,2025-04-25
Pow Martinez: Junk DNA,Silverlens,2025-04-25
Maren Hassinger,Susan Inglett,2025-04-25
Willem de Kooning: Endless Painting,Gagosian,2025-04-25
ELLES,Fleiss-Vallois,2025-04-26
A.R. Penck: The Temple of Many Faces,Michael Werner,2025-04-26
Picasso: Tête-à-tête,Gagosian,2025-04-26
Taryn Simon,Gagosian,2025-04-26
Feng Xiao-Min: Sailing Through the Light,Opera Gallery,2025-04-26
The Human Situation: Marcia Marcus - Alice Neel - Sylvia Sleigh,Lévy Gorvy Dayan,2025-04-26
Vanessa German,Kasmin,2025-04-26
William Stewart: Constructed Pictures,Morgan Presents,2025-04-26
Syd Mead: Future Pastime,534 W 26th St,2025-04-26
Takashi Seto: Moments of Arrival,Seizan Gallery,2025-04-26
Mary Ann Unger: Across the Bering Strait,Berry Campbell,2025-04-26
Robert Nava: After Hours,PACE,2025-04-26
Jean Dubuffet: The Hourloupe Cycle,PACE,2025-04-26
Heather Hutchison: Seeker,Winston Wächter Fine Art,2025-04-26
Permanent Collection,Metropolitan Museum of Art,2025-04-27
Caspar David Friedrich: The Soul of Nature,Metropolitan Museum of Art,2025-04-27
Sargeant and Paris,Metropolitan Museum of Art,2025-04-27
Keith Vaughan: Figures & Landscapes,Brooke-Walder Gallery,2025-05-08
The Box: Matt Pagett,Parlour Gallery,2025-05-10
Giuseppe Penone: Thoughts in the Roots,Serpentine South,2025-05-15
Remus Grecu: The Silence Between,BEERS,2025-05-16
Rose Wylie: When Found becomes Given,David Zwirner,2025-05-17
Niki de Saint Phalle & Yayoi Kusama: Inner Child,Opera Gallery,2025-05-17
Mimmo Paladino,Massimo de Carlo,2025-05-17
David Salle: Some Versions of Pastoral,Thaddeus Ropac,2025-05-17
Hecate,Twilight Contemporary,2025-05-24
THE ECHO OF PROTEST IS DISTANT TO THE PROTEST,Auto Italia,2025-05-25
Claudio Parmiggiani,Estorick Collection,2025-05-27
Richard Wright,Camden Art Centre,2025-05-28
Michael Kidner: from Rothko to Riley,Flowers Gallery,2025-05-31
Jake Longstreth: California Landscapes,Galerie Max Hetzler,2025-05-31
Peter Saul,Saatchi Yates,2025-05-31
Philippe Parreno: El Almendral ,Pilar Corrias,2025-06-03
Francesca Mollett: Annual Honesty,Modern Art,2025-06-03
Cornelia Parker: History Painting,Frith Street Gallery,2025-06-05
Kathleen Ryan: Roman Meal,Gagosian,2025-06-10
In the Mood for Love: Hockney in London 1960-1963,Hazlitt Holland-Hibbert,2025-06-12
Visual Symphonies,Nahmad Projects,2025-06-17
Luigi Zuccheri,Sylvia Kouvali,2025-06-18
Sculpted,Ordovas,2025-06-19
Astonishing Things: The Drawings of Victor Hugo,Royal Academy,2025-06-21
Hilary Pecis Wandering,Timothy Taylor,2025-06-24
Andrew Salgado: Self-Portrait As A Stack of Books,BEERS,2025-06-28
Ugo Rodinone: the rainbow body,Sadie Coles HQ,2025-07-01
Once Upon a Time in London,Saatchi Yates,2025-07-08
Derek Jarman: The Black Paintings: A Chronology. Part I 1984 - 1987,Amanda Wilkinson,2025-07-10
Caroline Coon,Stephen Friedman Gallery,2025-07-15
Gregor Hildebrandt: AUF FALSCHER SEITE IN DIE FALSCHE RICHTUNG,Almine Rech,2025-07-17
Serolod: Reality is Relative,Almine Rech,2025-07-17
Paul Thek: Seized by Joy. Paintings 1965–1988.,Thomas Dane Gallery,2025-07-24
Aubrey Williams: Elemental Force,October Gallery,2025-07-26
Summer Exhibition,Royal Academy,2025-07-27
The System is Alive,Perrotin,2025-07-31
Ed Atkins,Tate Britain,2025-08-02
Edward Burra – Ithell Colquhoun,Tate Britain,2025-08-02
Do Ho Suh: Walk the House,Tate Modern,2025-08-03
Eyes open - I breathe again,Alice Amati,2025-08-07
Huma Bhabha Encounters: Giacometti,Barbican,2025-08-09
Anselm Kiefer,White Cube,2025-08-09
Coco Capitán: Studio Debris: A Bit of Everything - A Lot of Nothing,Maximillian William,2025-08-12
Diamond Stingily: May 29,Cabinet,2025-08-16
Daria Dmytrenko: The Dreams I Don’t Remember,PM/AM,2025-08-23
The Bourdon Street Chippy,Lyndsey Ingram,2025-08-27
Nicolas Deshayes: The Natural World,Modern Art,2025-08-30
Kiefer / Van Gogh,Royal Academy,2025-08-30
Derek Jarman: The Black Paintings: A Chronology. Part II 1988 - 1991,Amanda Wilkinson,2025-09-06
Lewis Davidson: Electric Fall,DES BAINS,2025-09-06
Ketty La Rocca: you you,Estorick Collection,2025-09-09
Andrea Francolino. Contemplatio,Mazzoleni,2025-09-12
Rudolf Stingel: Vineyard Paintings,Gagosian,2025-09-16
Henry Miller Open House,Henry Miller,2025-09-20
Mika Tajima: Anthesis,PACE,2025-09-20
Peter Halley,Massimo de Carlo,2025-09-23
Danielle Mckinney: Second Wind,Max Hetzler,2025-09-25
Toyen: Dreaming in the Margins,Richard Saltoun,2025-09-25
Alex da Corte: Summer Song,Sadie Coles HQ,2025-09-27
Soft Grip ,General Assembly,2025-10-02
Tacita Dean,Frith Street Gallery,2025-10-04
Andrew Schneider: Nowiswhenweare,Rambert,2025-10-07
Sean Scully: Mirroring,Estorick Collection,2025-10-07
Victor Man: The Absence That We Are,David Zwirner,2025-10-09
Łukasz Stoktosa: Once upon a time,Rose Easton,2025-10-11
Wolfgang Tillmans: Build From Here,Maureen Paley,2025-10-11
Andreas Gursky,White Cube,2025-10-14
Picasso / Pistoletto,Helly Nahmad,2025-10-16
Cosima von Bonin: Upstairs Downstairs,Raven Row,2025-10-19
Strange Discoveries: The art of Denton Welch,John Swarbrooke Fine Art,2025-10-23
Postures: Jean Rhys in the Modern World,Michael Werner,2025-10-25
 
